start_time,src,dst,result,rtt,type,code,reply_from
2025-02-02 08:44:57.099991,172.16.201.111,1.1.1.1,OK,0.030429,0,0,1.1.1.1
2025-02-02 08:44:58.100684,172.16.201.111,1.1.1.1,OK,0.032569,0,0,1.1.1.1
2025-02-02 08:44:59.101289,172.16.201.111,1.1.1.1,OK,0.034931,0,0,1.1.1.1
2025-02-02 08:45:00.101799,172.16.201.111,1.1.1.1,OK,0.034705,0,0,1.1.1.1
2025-02-02 08:45:01.102486,172.16.201.111,1.1.1.1,OK,0.035015,0,0,1.1.1.1
2025-02-02 08:45:02.103326,172.16.201.111,1.1.1.1,OK,0.034504,0,0,1.1.1.1
2025-02-02 08:45:03.104078,172.16.201.111,1.1.1.1,OK,0.035135,0,0,1.1.1.1
2025-02-02 08:45:04.104771,172.16.201.111,1.1.1.1,OK,0.032058,0,0,1.1.1.1
2025-02-02 08:45:18.630568,172.16.201.111,1.1.1.1,OK,0.028643,0,0,1.1.1.1
2025-02-02 08:45:19.639241,172.16.201.111,1.1.1.1,OK,0.033978,0,0,1.1.1.1
2025-02-02 08:45:20.639806,172.16.201.111,1.1.1.1,OK,0.035563,0,0,1.1.1.1
2025-02-02 08:45:21.640686,172.16.201.111,1.1.1.1,OK,0.033026,0,0,1.1.1.1
2025-02-02 12:39:42.427853,172.16.201.111,1.1.1.1,NG,,99,99,
2025-02-02 12:39:43.428867,172.16.201.111,1.1.1.1,NG,,99,99,
2025-02-02 12:39:44.433556,172.16.201.111,1.1.1.1,NG,,99,99,
2025-02-02 12:39:45.434016,172.16.201.111,1.1.1.1,NG,,99,99,
2025-02-02 12:41:10.143028,172.16.201.111,1.1.1.1,NG,,99,99,
2025-02-02 12:41:11.143623,172.16.201.111,1.1.1.1,NG,,99,99,
2025-02-02 12:41:12.144375,172.16.201.111,1.1.1.1,NG,,99,99,
2025-02-02 12:41:13.145152,172.16.201.111,1.1.1.1,NG,,99,99,
2025-02-02 12:41:14.145944,172.16.201.111,1.1.1.1,NG,,99,99,
2025-02-02 12:42:00.107517,172.16.201.111,1.1.1.1,NG,,99,99,
2025-02-02 12:42:01.108483,172.16.201.111,1.1.1.1,NG,,99,99,
2025-02-02 12:42:02.108917,172.16.201.111,1.1.1.1,NG,,99,99,
2025-02-02 12:42:47.520909,172.16.201.111,1.1.1.1,NG,,99,99,
2025-02-02 12:42:48.522936,172.16.201.111,1.1.1.1,NG,,99,99,
2025-02-02 12:42:49.523181,172.16.201.111,1.1.1.1,NG,,99,99,
2025-02-02 12:43:30.341942,172.16.201.111,1.1.1.1,OK,0.031926,0,0,1.1.1.1
2025-02-02 12:43:31.342723,172.16.201.111,1.1.1.1,OK,0.028506,0,0,1.1.1.1
2025-02-02 12:43:32.343134,172.16.201.111,1.1.1.1,OK,0.096959,0,0,1.1.1.1
2025-02-02 12:43:33.343809,172.16.201.111,1.1.1.1,OK,0.032924,0,0,1.1.1.1
2025-02-02 12:43:49.268809,172.16.201.111,1.1.1.1,OK,0.029249,0,0,1.1.1.1
2025-02-02 12:43:50.269251,172.16.201.111,1.1.1.1,OK,0.024404,0,0,1.1.1.1
2025-02-02 12:43:51.269854,172.16.201.111,1.1.1.1,OK,0.028812,0,0,1.1.1.1
2025-02-02 12:43:52.270551,172.16.201.111,1.1.1.1,OK,0.028096,0,0,1.1.1.1
2025-02-02 12:43:53.271283,172.16.201.111,1.1.1.1,OK,0.031647,0,0,1.1.1.1
2025-02-02 12:43:54.271779,172.16.201.111,1.1.1.1,OK,0.029665,0,0,1.1.1.1
2025-02-02 12:43:55.273718,172.16.201.111,1.1.1.1,OK,0.032475,0,0,1.1.1.1
2025-02-02 12:43:56.274644,172.16.201.111,1.1.1.1,OK,0.027019,0,0,1.1.1.1
2025-02-02 12:43:57.275324,172.16.201.111,1.1.1.1,OK,0.027069,0,0,1.1.1.1
2025-02-02 12:43:58.275976,172.16.201.111,1.1.1.1,OK,0.031328,0,0,1.1.1.1
2025-02-02 13:48:26.916486,172.16.201.111,1.1.1.1,OK,0.025354,0,0,1.1.1.1
2025-02-02 13:48:27.917123,172.16.201.111,1.1.1.1,OK,0.025031,0,0,1.1.1.1
2025-02-02 13:48:28.917533,172.16.201.111,1.1.1.1,OK,0.026706,0,0,1.1.1.1
2025-02-02 13:48:29.918012,172.16.201.111,1.1.1.1,OK,0.023419,0,0,1.1.1.1
2025-02-02 13:48:30.918489,172.16.201.111,1.1.1.1,OK,0.02951,0,0,1.1.1.1
2025-02-02 13:48:31.919108,172.16.201.111,1.1.1.1,OK,0.025547,0,0,1.1.1.1
