start_time,src,dst,result,rtt,type,code,reply_from
2025-02-02 18:00:37.615885,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:00:38.617914,172.16.201.111,172.16.201.2,NG,,3,0,2.16.201.111
2025-02-02 18:00:39.618390,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:00:40.619338,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:00:41.620318,172.16.201.111,172.16.201.2,NG,,3,0,2.16.201.111
2025-02-02 18:00:42.620742,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:00:43.621480,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:00:44.622302,172.16.201.111,172.16.201.2,NG,,3,0,2.16.201.111
2025-02-02 18:00:45.622987,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:00:46.631626,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:00:47.632472,172.16.201.111,172.16.201.2,NG,,3,0,2.16.201.111
2025-02-02 18:00:48.633521,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:00:49.634471,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:00:50.635468,172.16.201.111,172.16.201.2,NG,,3,0,2.16.201.111
2025-02-02 18:00:51.637354,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:00:52.637861,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:00:53.638818,172.16.201.111,172.16.201.2,NG,,3,0,2.16.201.111
2025-02-02 18:00:54.639954,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:00:55.640676,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:00:56.641331,172.16.201.111,172.16.201.2,NG,,3,0,2.16.201.111
2025-02-02 18:00:57.644565,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:00:58.645516,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:00:59.646321,172.16.201.111,172.16.201.2,NG,,3,0,2.16.201.111
2025-02-02 18:01:00.647289,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:01:01.648181,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:01:02.649165,172.16.201.111,172.16.201.2,NG,,3,0,2.16.201.111
2025-02-02 18:01:03.649985,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:01:04.651020,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:01:05.652025,172.16.201.111,172.16.201.2,NG,,3,0,2.16.201.111
2025-02-02 18:01:06.652912,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:01:07.653494,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:01:08.654613,172.16.201.111,172.16.201.2,NG,,3,0,2.16.201.111
2025-02-02 18:01:09.655625,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:01:10.656626,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:01:11.657350,172.16.201.111,172.16.201.2,NG,,3,0,2.16.201.111
2025-02-02 18:01:12.658312,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:01:13.659444,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:01:14.660396,172.16.201.111,172.16.201.2,NG,,3,0,2.16.201.111
2025-02-02 18:01:15.661455,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:01:16.662397,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:01:17.663030,172.16.201.111,172.16.201.2,NG,,3,0,2.16.201.111
2025-02-02 18:01:18.663797,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:01:19.664337,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:01:20.665107,172.16.201.111,172.16.201.2,NG,,3,0,2.16.201.111
2025-02-02 18:01:21.666389,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:01:22.667447,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:01:23.668127,172.16.201.111,172.16.201.2,NG,,3,0,2.16.201.111
2025-02-02 18:01:24.668851,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:01:25.669445,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:01:26.670549,172.16.201.111,172.16.201.2,NG,,3,0,2.16.201.111
2025-02-02 18:01:27.671515,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:01:28.672407,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:01:29.672997,172.16.201.111,172.16.201.2,NG,,3,0,2.16.201.111
2025-02-02 18:01:30.673744,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:01:31.675992,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:01:32.677412,172.16.201.111,172.16.201.2,NG,,3,0,2.16.201.111
2025-02-02 18:01:33.678361,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:01:34.678904,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:01:35.679720,172.16.201.111,172.16.201.2,NG,,3,0,2.16.201.111
2025-02-02 18:01:36.680377,172.16.201.111,172.16.201.2,NG,,98,98,
2025-02-02 18:01:37.681593,172.16.201.111,172.16.201.2,NG,,99,99,
